"code","DATE","MUNICIPALITY","BARANGAY","FAT","IDnames","x","y"
"D03001","26/03/2013","Panglao","Poblacion","positive","PANGLAO POBLACION",575243.76500563,1051809.42238108
"D03002","28/03/2013","Trinidad","San Vicente","positive","TRINIDAD SAN VICENTE",645188.652114536,1114799.84535711
"D04005","17/04/2013","Dauis","Mayacabac","positive","DAUIS MAYACABAC",594394.581952737,1063321.64683497
"D06006","24/06/2013","San Miguel","Camanaga","positive","SAN MIGUEL CAMANAGA",646577.715752907,1101865.43307965
"D08001","23/08/2013","Panglao","Poblacion","positive","PANGLAO POBLACION",582421.130064231,1059585.41370188
NA,"16/04/2013","DAUIS","MAYACABAC","positive","DAUIS MAYACABAC",593532.25056033,1062802.35431592
NA,"02/04/2013","ALBUQUERQUE","DANGAY","positive","ALBUQUERQUE DANGAY",605948.768264452,1065649.65845342
NA,"03/04/2013","DAUIS","TOTOLAN","positive","DAUIS TOTOLAN",592133.881482941,1065608.16426203
NA,"03/04/2013","TAGBILARAN CITY","TALOTO","positive","TAGBILARAN CITY TALOTO",594075.204587195,1068915.3491578
NA,"05/04/2013","TUBIGON","CAHAYAG","positive","TUBIGON CAHAYAG",601619.394460986,1096760.89693483
NA,"17/04/2013","LOAY","Villalimpia","positive","LOAY VILLALIMPIA",610697.535469795,1061847.57113612
NA,"03/07/2013","PANGLAO","Doljo","positive","PANGLAO DOLJO",578972.96037699,1059878.58654085
