"code","DATE","MUNICIPALITY","BARANGAY","FAT","IDnames","x","y"
"D04001","02/04/2013","Dauis","Poblacion","unfit","DAUIS POBLACION",595016.978724118,1063873.09714052
"D04002","03/04/2013","Dauis","Poblacion","unfit","DAUIS POBLACION",593607.596058179,1063600.74593733
"D04003","05/04/2013","Dauis","Mayacabac","unfit","DAUIS MAYACABAC",594352.912839162,1063187.55844052
"D04004","16/04/2013","Dauis","Poblacion","unfit","DAUIS POBLACION",594980.23189545,1063882.25192262
"D06000","07/06/2013","Dauis","Songculan","unfit","DAUIS SONGCULAN",590975.750155727,1064136.62684515
"D06001","08/06/2013","Albuquerque","Santa Filomena","unfit","ALBUQUERQUE SANTA FILOMENA",606130.932063963,1063497.9733187
"D06002","08/06/2013","Panglao","Doljo","unfit","PANGLAO DOLJO",580971.130065875,1059857.16890254
"D06003","08/06/2013","Panglao","Doljo","unfit","PANGLAO DOLJO",581157.010116681,1060149.51614016
"D06004","24/06/2013","Talibon","Zamora","unfit","TALIBON ZAMORA",643174.145498609,1117370.85775297
"D06005","28/06/2013","Candijay","Lungsoda-An","unfit","CANDIJAY LUNGSODA-AN",661768.802243452,1088131.80784748
